,GeoFips,MSA
0,998,United States (Metropolitan Portion)
1,10180,"Abilene, TX"
2,10420,"Akron, OH"
3,10500,"Albany, GA"
4,10540,"Albany-Lebanon, OR"
5,10580,"Albany-Schenectady-Troy, NY"
6,10740,"Albuquerque, NM *"
7,10780,"Alexandria, LA"
8,10900,"Allentown-Bethlehem-Easton, PA-NJ"
9,11020,"Altoona, PA"
10,11100,"Amarillo, TX"
11,11180,"Ames, IA"
12,11260,"Anchorage, AK"
13,11460,"Ann Arbor, MI"
14,11500,"Anniston-Oxford, AL"
15,11540,"Appleton, WI"
16,11700,"Asheville, NC"
17,12020,"Athens-Clarke County, GA"
18,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
19,12100,"Atlantic City-Hammonton, NJ"
20,12220,"Auburn-Opelika, AL"
21,12260,"Augusta-Richmond County, GA-SC"
22,12420,"Austin-Round Rock-Georgetown, TX"
23,12540,"Bakersfield, CA"
24,12580,"Baltimore-Columbia-Towson, MD"
25,12620,"Bangor, ME"
26,12700,"Barnstable Town, MA"
27,12940,"Baton Rouge, LA"
28,12980,"Battle Creek, MI"
29,13020,"Bay City, MI"
30,13140,"Beaumont-Port Arthur, TX"
31,13220,"Beckley, WV"
32,13380,"Bellingham, WA"
33,13460,"Bend, OR"
34,13740,"Billings, MT"
35,13780,"Binghamton, NY"
36,13820,"Birmingham-Hoover, AL"
37,13900,"Bismarck, ND"
38,13980,"Blacksburg-Christiansburg, VA *"
39,14010,"Bloomington, IL"
40,14020,"Bloomington, IN"
41,14100,"Bloomsburg-Berwick, PA"
42,14260,"Boise City, ID"
43,14460,"Boston-Cambridge-Newton, MA-NH"
44,14500,"Boulder, CO *"
45,14540,"Bowling Green, KY"
46,14740,"Bremerton-Silverdale-Port Orchard, WA"
47,14860,"Bridgeport-Stamford-Norwalk, CT"
48,15180,"Brownsville-Harlingen, TX"
49,15260,"Brunswick, GA"
50,15380,"Buffalo-Cheektowaga, NY"
51,15500,"Burlington, NC"
52,15540,"Burlington-South Burlington, VT"
53,15680,"California-Lexington Park, MD"
54,15940,"Canton-Massillon, OH"
55,15980,"Cape Coral-Fort Myers, FL"
56,16020,"Cape Girardeau, MO-IL"
57,16060,"Carbondale-Marion, IL"
58,16180,"Carson City, NV"
