GeoFips,GeoName,Year,Personal Income
10180,"Abilene, TX (Metropolitan Statistical Area)",2000,3675392.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2001,3753367.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2002,3905004.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2003,4137066.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2004,4325061.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2005,4552568.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2006,4850810.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2007,5119572.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2008,5632799.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2009,5415851.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2010,5705250.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2011,6052939.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2012,6356517.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2013,6534805.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2014,7010125.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2015,6872897.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2016,6797808.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2017,6966419.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2018,7459618.0
10180,"Abilene, TX (Metropolitan Statistical Area)",2019,7837655.0
10420,"Akron, OH (Metropolitan Statistical Area)",2000,20750568.0
10420,"Akron, OH (Metropolitan Statistical Area)",2001,21099545.0
10420,"Akron, OH (Metropolitan Statistical Area)",2002,21415769.0
10420,"Akron, OH (Metropolitan Statistical Area)",2003,22250786.0
10420,"Akron, OH (Metropolitan Statistical Area)",2004,23095011.0
10420,"Akron, OH (Metropolitan Statistical Area)",2005,23725368.0
10420,"Akron, OH (Metropolitan Statistical Area)",2006,24662208.0
10420,"Akron, OH (Metropolitan Statistical Area)",2007,25942891.0
10420,"Akron, OH (Metropolitan Statistical Area)",2008,27003814.0
10420,"Akron, OH (Metropolitan Statistical Area)",2009,26175360.0
10420,"Akron, OH (Metropolitan Statistical Area)",2010,26886702.0
10420,"Akron, OH (Metropolitan Statistical Area)",2011,28023720.0
10420,"Akron, OH (Metropolitan Statistical Area)",2012,28861978.0
10420,"Akron, OH (Metropolitan Statistical Area)",2013,29411698.0
10420,"Akron, OH (Metropolitan Statistical Area)",2014,30821441.0
10420,"Akron, OH (Metropolitan Statistical Area)",2015,31731732.0
10420,"Akron, OH (Metropolitan Statistical Area)",2016,32153668.0
10420,"Akron, OH (Metropolitan Statistical Area)",2017,33455069.0
10420,"Akron, OH (Metropolitan Statistical Area)",2018,34880215.0
10420,"Akron, OH (Metropolitan Statistical Area)",2019,35944121.0
10500,"Albany, GA (Metropolitan Statistical Area)",2000,3448146.0
10500,"Albany, GA (Metropolitan Statistical Area)",2001,3544067.0
10500,"Albany, GA (Metropolitan Statistical Area)",2002,3695068.0
10500,"Albany, GA (Metropolitan Statistical Area)",2003,3833427.0
10500,"Albany, GA (Metropolitan Statistical Area)",2004,3930646.0
10500,"Albany, GA (Metropolitan Statistical Area)",2005,4064538.0
10500,"Albany, GA (Metropolitan Statistical Area)",2006,4154201.0
10500,"Albany, GA (Metropolitan Statistical Area)",2007,4311977.0
10500,"Albany, GA (Metropolitan Statistical Area)",2008,4490088.0
10500,"Albany, GA (Metropolitan Statistical Area)",2009,4591059.0
10500,"Albany, GA (Metropolitan Statistical Area)",2010,4727287.0
10500,"Albany, GA (Metropolitan Statistical Area)",2011,5075541.0
10500,"Albany, GA (Metropolitan Statistical Area)",2012,5101696.0
10500,"Albany, GA (Metropolitan Statistical Area)",2013,5051615.0
10500,"Albany, GA (Metropolitan Statistical Area)",2014,5168357.0
