,city,state_id,county_fips,lat,lng,MSA,cbsaname,msaname,cbsa
0,Philadelphia,PA,42101,40.0077,-75.1339,"Philadelphia, PA","Philadelphia, PA","PHILADELPHIA, PA-NJ",37964.0
1,San Antonio,TX,48029,29.4658,-98.5253,"San Antonio, TX","San Antonio, TX","SAN ANTONIO, TX",41700.0
2,Orlando,FL,12095,28.4772,-81.3369,"Orlando, FL","Orlando, FL","ORLANDO, FL",36740.0
3,Pittsburgh,PA,42003,40.4396,-79.9762,"Pittsburgh, PA","Pittsburgh, PA","PITTSBURGH, PA",38300.0
4,Indianapolis,IN,18097,39.7771,-86.1458,"Indianapolis, IN","Indianapolis, IN","INDIANAPOLIS, IN",26900.0
5,Columbus,OH,39049,39.9862,-82.985,"Columbus, OH","Columbus, OH","COLUMBUS, OH",18140.0
6,Jacksonville,FL,12031,30.3322,-81.6749,"Jacksonville, FL","Jacksonville, FL","JACKSONVILLE, FL",27260.0
7,Salt Lake City,UT,49035,40.7777,-111.9306,"Salt Lake City, UT","Salt Lake City, UT","SALT LAKE CITY-OGDEN, UT",41620.0
8,Oklahoma City,OK,40109,35.4676,-97.5136,"Oklahoma City, OK","Oklahoma City, OK","OKLAHOMA CITY, OK",36420.0
9,Rochester,NY,36055,43.168,-77.6162,"Rochester, NY","Rochester, NY","ROCHESTER, NY",40380.0
10,Worcester,MA,25027,42.2705,-71.8079,"Worcester, MA","Worcester, MA","BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",49340.0
11,Durham,NC,37063,35.9794,-78.9031,"Durham, NC","Durham, NC","RALEIGH-DURHAM-CHAPEL HILL, NC",20500.0
12,Winston-Salem,NC,37067,36.1029,-80.2611,"Winston-Salem, NC","Winston-Salem, NC","GREENSBORO--WINSTON-SALEM--HIGH POINT, NC",49180.0
13,Burlington,NC,37001,36.0758,-79.4686,"Burlington, NC","Burlington, NC","GREENSBORO--WINSTON-SALEM--HIGH POINT, NC",15500.0
14,Anderson,IN,18095,40.0891,-85.6893,"Anderson, IN","Anderson, IN","INDIANAPOLIS, IN",11300.0
15,Camden,NJ,34007,39.9362,-75.1073,"Camden, NJ","Camden, NJ","PHILADELPHIA, PA-NJ",15804.0
16,Monroe,MI,26115,41.9154,-83.385,"Monroe, MI","Monroe, MI","DETROIT, MI",33780.0
17,Fajardo,PR,72053,18.333,-65.6592,"Fajardo, PR","Fajardo, PR","SAN JUAN-BAYAMON, PR",21940.0
