MSA,Year,HPI
"Abilene, TX",2000,99.84750000000001
"Akron, OH",2000,99.73583333333333
"Albany, GA",2000,99.64999999999999
"Albany, OR",2000,100.83333333333333
"Albany-Schenectady-Troy, NY",2000,98.33916666666666
"Albuquerque, NM",2000,100.57916666666665
"Alexandria, LA",2000,99.39583333333333
"Allentown-Bethlehem-Easton, PA-NJ",2000,98.14999999999999
"Altoona, PA",2000,99.11083333333333
"Amarillo, TX",2000,98.60833333333333
"Ames, IA",2000,99.27166666666666
"Anchorage, AK",2000,98.38333333333334
"Ann Arbor, MI",2000,97.6375
"Anniston-Oxford-Jacksonville, AL",2000,98.7925
"Appleton, WI",2000,99.4825
"Asheville, NC",2000,98.14833333333333
"Athens-Clarke County, GA",2000,97.8325
"Atlanta-Sandy Springs-Roswell, GA",2000,97.98583333333333
"Atlantic City-Hammonton, NJ",2000,96.98000000000002
"Auburn-Opelika, AL",2000,98.72083333333335
"Augusta-Richmond County, GA-SC",2000,99.08583333333333
"Austin-Round Rock, TX",2000,95.31166666666665
"Bakersfield, CA",2000,98.10833333333333
"Baltimore-Columbia-Towson, MD",2000,97.52
"Bangor, ME",2000,98.71499999999999
"Barnstable Town, MA",2000,93.86916666666667
"Baton Rouge, LA",2000,99.30416666666666
"Battle Creek, MI",2000,99.69583333333334
"Bay City, MI",2000,99.86666666666666
"Beaumont-Port Arthur, TX",2000,98.92416666666668
"Beckley, WV",2000,100.29083333333334
"Bellingham, WA",2000,99.2675
"Bend-Redmond, OR",2000,98.29666666666667
"Billings, MT",2000,98.82749999999999
"Binghamton, NY",2000,98.37583333333333
"Birmingham-Hoover, AL",2000,99.04083333333334
"Bismarck, ND",2000,99.87416666666667
"Blacksburg-Christiansburg-Radford, VA",2000,98.23666666666666
"Bloomington, IL",2000,99.56333333333333
"Bloomington, IN",2000,99.99916666666667
"Bloomsburg-Berwick, PA",2000,99.06
"Boise City, ID",2000,99.04333333333334
"Boston-Cambridge-Newton, MA-NH",2000,94.44666666666666
"Boulder, CO",2000,94.84583333333335
"Bowling Green, KY",2000,100.47083333333332
"Bremerton-Silverdale, WA",2000,98.54916666666668
"Bridgeport-Stamford-Norwalk, CT",2000,96.47416666666668
"Brownsville-Harlingen, TX",2000,98.955
"Brunswick, GA",2000,97.80333333333334
"Buffalo-Cheektowaga-Niagara Falls, NY",2000,99.1025
"Burlington, NC",2000,99.32499999999999
"Burlington-South Burlington, VT",2000,97.35916666666667
"California-Lexington Park, MD",2000,99.32583333333332
"Canton-Massillon, OH",2000,100.6925
"Cape Coral-Fort Myers, FL",2000,96.12583333333333
"Cape Girardeau, MO-IL",2000,99.19583333333333
"Carbondale-Marion, IL",2000,99.35166666666667
"Carson City, NV",2000,98.21833333333335
"Casper, WY",2000,98.245
"Cedar Rapids, IA",2000,99.42666666666666
"Chambersburg-Waynesboro, PA",2000,99.49166666666666
"Champaign-Urbana, IL",2000,98.91000000000001
"Charleston, WV",2000,101.46833333333335
"Charleston-North Charleston, SC",2000,97.71666666666668
"Charlotte-Concord-Gastonia, NC-SC",2000,98.95
"Charlottesville, VA",2000,96.875
