MSA,Year,HPI
"Abilene, TX",1975,46.90416666666667
"Akron, OH",1975,30.110833333333332
"Albany, GA",1975,41.33833333333333
"Albany, OR",1975,22.504166666666666
"Albany-Schenectady-Troy, NY",1975,35.212500000000006
"Albuquerque, NM",1975,29.063333333333336
"Alexandria, LA",1975,36.349999999999994
"Allentown-Bethlehem-Easton, PA-NJ",1975,30.69666666666667
"Altoona, PA",1975,40.37916666666666
"Amarillo, TX",1975,34.122499999999995
"Ames, IA",1975,33.20166666666666
"Anchorage, AK",1975,39.259166666666665
"Ann Arbor, MI",1975,21.121666666666666
"Anniston-Oxford-Jacksonville, AL",1975,42.68333333333334
"Appleton, WI",1975,29.07083333333333
"Asheville, NC",1975,25.962500000000002
"Athens-Clarke County, GA",1975,23.1775
"Atlanta-Sandy Springs-Roswell, GA",1975,28.005
"Atlantic City-Hammonton, NJ",1975,25.429166666666664
"Auburn-Opelika, AL",1975,34.649166666666666
"Augusta-Richmond County, GA-SC",1975,38.78833333333333
"Austin-Round Rock, TX",1975,24.406666666666666
"Bakersfield, CA",1975,33.059999999999995
"Baltimore-Columbia-Towson, MD",1975,27.31916666666667
"Bangor, ME",1975,39.427499999999995
"Barnstable Town, MA",1975,18.335833333333333
"Baton Rouge, LA",1975,30.735833333333336
"Battle Creek, MI",1975,33.47666666666667
"Bay City, MI",1975,36.0625
"Beaumont-Port Arthur, TX",1975,39.457499999999996
"Beckley, WV",1975,54.853333333333346
"Bellingham, WA",1975,21.708333333333332
"Bend-Redmond, OR",1975,22.746666666666666
"Billings, MT",1975,32.17666666666666
"Binghamton, NY",1975,41.331666666666656
"Birmingham-Hoover, AL",1975,34.03916666666667
"Bismarck, ND",1975,40.523333333333326
"Blacksburg-Christiansburg-Radford, VA",1975,29.400000000000002
"Bloomington, IL",1975,33.24166666666667
"Bloomington, IN",1975,36.303333333333335
"Bloomsburg-Berwick, PA",1975,37.428333333333335
"Boise City, ID",1975,31.10833333333333
"Boston-Cambridge-Newton, MA-NH",1975,15.090833333333334
"Boulder, CO",1975,16.16583333333333
"Bowling Green, KY",1975,35.335
"Bremerton-Silverdale, WA",1975,24.3225
"Bridgeport-Stamford-Norwalk, CT",1975,20.822499999999994
"Brownsville-Harlingen, TX",1975,44.76583333333334
"Brunswick, GA",1975,31.52333333333333
"Buffalo-Cheektowaga-Niagara Falls, NY",1975,35.5475
"Burlington, NC",1975,27.584166666666665
"Burlington-South Burlington, VT",1975,23.334166666666665
"California-Lexington Park, MD",1975,25.155
"Canton-Massillon, OH",1975,31.599999999999998
"Cape Coral-Fort Myers, FL",1975,38.38916666666667
"Cape Girardeau, MO-IL",1975,41.2825
"Carbondale-Marion, IL",1975,45.75833333333333
"Carson City, NV",1975,27.852500000000006
"Casper, WY",1975,44.49583333333334
"Cedar Rapids, IA",1975,33.45333333333333
"Chambersburg-Waynesboro, PA",1975,36.22583333333333
"Champaign-Urbana, IL",1975,33.983333333333334
"Charleston, WV",1975,40.18083333333333
"Charleston-North Charleston, SC",1975,23.65833333333333
"Charlotte-Concord-Gastonia, NC-SC",1975,27.59416666666667
"Charlottesville, VA",1975,24.869999999999994
"Chattanooga, TN-GA",1975,33.46083333333333
"Cheyenne, WY",1975,29.5275
"Chicago-Naperville-Elgin, IL-IN-WI",1975,23.724999999999998
"Chico, CA",1975,25.752499999999998
"Cincinnati, OH-KY-IN",1975,29.590833333333336
"Clarksville, TN-KY",1975,46.609166666666674
"Cleveland, TN",1975,43.307500000000005
"Cleveland-Elyria, OH",1975,29.64833333333333
"Coeur d'Alene, ID",1975,27.665833333333335
"College Station-Bryan, TX",1975,41.02416666666667
"Colorado Springs, CO",1975,25.462499999999995
"Columbia, MO",1975,40.00333333333332
"Columbia, SC",1975,33.755833333333335
"Columbus, GA-AL",1975,36.75416666666666
"Columbus, IN",1975,30.290000000000003
"Columbus, OH",1975,29.070000000000004
"Corpus Christi, TX",1975,36.620000000000005
"Corvallis, OR",1975,22.830833333333334
"Crestview-Fort Walton Beach-Destin, FL",1975,26.10166666666667
"Cumberland, MD-WV",1975,53.16166666666667
"Dallas-Fort Worth-Arlington, TX",1975,32.37
"Dalton, GA",1975,32.30083333333334
"Danville, IL",1975,52.33166666666668
"Daphne-Fairhope-Foley, AL",1975,28.205
"Davenport-Moline-Rock Island, IA-IL",1975,38.860833333333325
"Dayton, OH",1975,32.5625
"Decatur, AL",1975,40.809999999999995
"Decatur, IL",1975,43.32333333333333
"Deltona-Daytona Beach-Ormond Beach, FL",1975,37.53833333333333
"Denver-Aurora-Lakewood, CO",1975,19.221666666666664
"Des Moines-West Des Moines, IA",1975,32.07666666666666
"Detroit-Warren-Dearborn, MI",1975,23.06166666666667
"Dothan, AL",1975,45.277499999999996
"Dover, DE",1975,31.652499999999993
"Dubuque, IA",1975,34.12583333333334
"Duluth, MN-WI",1975,26.67833333333333
"Durham-Chapel Hill, NC",1975,26.49083333333333
"East Stroudsburg, PA",1975,37.899166666666666
"Eau Claire, WI",1975,35.59333333333333
"El Centro, CA",1975,30.34583333333333
"Elizabethtown-Fort Knox, KY",1975,37.8575
"Elkhart-Goshen, IN",1975,33.12166666666667
"Elmira, NY",1975,39.17
"El Paso, TX",1975,39.9175
"Enid, OK",1975,52.31083333333333
"Erie, PA",1975,31.415000000000003
"Eugene, OR",1975,23.69666666666667
"Evansville, IN-KY",1975,34.842499999999994
"Fairbanks, AK",1975,42.72083333333334
"Fargo, ND-MN",1975,38.38333333333333
"Farmington, NM",1975,35.642500000000005
"Fayetteville, NC",1975,39.681666666666665
"Fayetteville-Springdale-Rogers, AR-MO",1975,35.384166666666665
"Flagstaff, AZ",1975,28.008333333333336
"Flint, MI",1975,26.069999999999997
"Florence, SC",1975,35.34
"Florence-Muscle Shoals, AL",1975,46.69333333333333
"Fond du Lac, WI",1975,26.874166666666664
"Fort Collins, CO",1975,20.966666666666665
"Fort Smith, AR-OK",1975,37.175
"Fort Wayne, IN",1975,34.8925
"Fresno, CA",1975,29.5
"Gadsden, AL",1975,38.025
"Gainesville, FL",1975,39.28916666666667
"Gainesville, GA",1975,27.58666666666667
"Gettysburg, PA",1975,40.91916666666666
"Glens Falls, NY",1975,39.84416666666666
"Goldsboro, NC",1975,35.574999999999996
"Grand Forks, ND-MN",1975,41.142500000000005
"Grand Island, NE",1975,38.78333333333333
"Grand Junction, CO",1975,27.17
"Grand Rapids-Wyoming, MI",1975,29.77333333333334
"Grants Pass, OR",1975,26.727499999999996
"Great Falls, MT",1975,30.01583333333333
"Greeley, CO",1975,24.515833333333337
"Green Bay, WI",1975,28.820833333333336
"Greensboro-High Point, NC",1975,31.051666666666673
"Greenville, NC",1975,32.88916666666667
"Greenville-Anderson-Mauldin, SC",1975,30.55083333333333
"Gulfport-Biloxi-Pascagoula, MS",1975,37.84166666666667
"Hagerstown-Martinsburg, MD-WV",1975,27.75583333333333
"Hammond, LA",1975,32.09833333333333
"Hanford-Corcoran, CA",1975,27.816666666666666
"Harrisburg-Carlisle, PA",1975,32.41166666666667
