GeoFips,MSA,Year,Population,Personal Income,Number Jobs,HPI
12580,"Baltimore-Columbia-Towson, MD",2000,2557958,88618199,1543762,97.52
12580,"Baltimore-Columbia-Towson, MD",2001,2575471,92560218,1547690,105.05833333333334
12580,"Baltimore-Columbia-Towson, MD",2002,2596501,96206347,1558796,116.96166666666666
12580,"Baltimore-Columbia-Towson, MD",2003,2614232,100100963,1566963,134.72583333333333
12580,"Baltimore-Columbia-Towson, MD",2004,2630946,106048601,1593882,158.9416666666667
12580,"Baltimore-Columbia-Towson, MD",2005,2644231,112150514,1623895,189.62083333333337
12580,"Baltimore-Columbia-Towson, MD",2006,2658162,119250613,1658564,205.0558333333333
12580,"Baltimore-Columbia-Towson, MD",2007,2667619,124913017,1689183,204.59833333333336
12580,"Baltimore-Columbia-Towson, MD",2008,2679819,129517393,1686091,189.07583333333332
12580,"Baltimore-Columbia-Towson, MD",2009,2696018,128216434,1649432,174.06916666666663
12580,"Baltimore-Columbia-Towson, MD",2010,2715738,132299439,1645096,167.87166666666667
12580,"Baltimore-Columbia-Towson, MD",2011,2733785,139408288,1677182,160.79249999999996
12580,"Baltimore-Columbia-Towson, MD",2012,2754637,143713198,1707280,161.42333333333332
12580,"Baltimore-Columbia-Towson, MD",2013,2768233,144540375,1734251,169.26166666666666
12580,"Baltimore-Columbia-Towson, MD",2014,2780055,150789783,1755256,172.35916666666665
12580,"Baltimore-Columbia-Towson, MD",2015,2790053,156931804,1788444,174.10833333333335
12580,"Baltimore-Columbia-Towson, MD",2016,2794111,161864493,1813506,178.41166666666663
12580,"Baltimore-Columbia-Towson, MD",2017,2798707,167288930,1833823,185.8
12580,"Baltimore-Columbia-Towson, MD",2018,2800743,173683854,1865227,192.07416666666668
12580,"Baltimore-Columbia-Towson, MD",2019,2800053,179169101,1889243,195.4783333333333
14460,"Boston-Cambridge-Newton, MA-NH",2000,4401256,187074333,3027183,94.44666666666666
14460,"Boston-Cambridge-Newton, MA-NH",2001,4432132,193144620,3031090,107.23833333333332
14460,"Boston-Cambridge-Newton, MA-NH",2002,4440034,191456821,2977857,119.97166666666668
14460,"Boston-Cambridge-Newton, MA-NH",2003,4434723,194740022,2947152,131.84416666666667
14460,"Boston-Cambridge-Newton, MA-NH",2004,4424956,205195962,2973111,143.41
14460,"Boston-Cambridge-Newton, MA-NH",2005,4418046,215312270,3013744,151.70583333333332
14460,"Boston-Cambridge-Newton, MA-NH",2006,4427356,233311504,3051211,148.60333333333338
14460,"Boston-Cambridge-Newton, MA-NH",2007,4447838,245689586,3131667,142.63416666666666
14460,"Boston-Cambridge-Newton, MA-NH",2008,4483141,254643531,3150417,134.74666666666664
14460,"Boston-Cambridge-Newton, MA-NH",2009,4527220,251395544,3081345,129.54083333333332
14460,"Boston-Cambridge-Newton, MA-NH",2010,4566348,265132347,3085620,130.06333333333333
14460,"Boston-Cambridge-Newton, MA-NH",2011,4609790,278612314,3132923,126.57916666666668
14460,"Boston-Cambridge-Newton, MA-NH",2012,4656593,291048881,3190639,126.84749999999998
14460,"Boston-Cambridge-Newton, MA-NH",2013,4702877,293535282,3268018,135.6891666666667
14460,"Boston-Cambridge-Newton, MA-NH",2014,4746931,310116458,3344569,143.54333333333338
14460,"Boston-Cambridge-Newton, MA-NH",2015,4778340,331613402,3490822,150.5375
14460,"Boston-Cambridge-Newton, MA-NH",2016,4809061,345262564,3556994,159.15916666666666
14460,"Boston-Cambridge-Newton, MA-NH",2017,4841772,363192458,3611368,170.0675
14460,"Boston-Cambridge-Newton, MA-NH",2018,4859536,383529173,3673566,180.2216666666667
14460,"Boston-Cambridge-Newton, MA-NH",2019,4873019,397139161,3743187,187.155
16740,"Charlotte-Concord-Gastonia, NC-SC",2000,1753958,53630608,1126455,98.95
16740,"Charlotte-Concord-Gastonia, NC-SC",2001,1795029,52696851,1131782,101.1225
16740,"Charlotte-Concord-Gastonia, NC-SC",2002,1832361,54246879,1134667,103.25916666666667
16740,"Charlotte-Concord-Gastonia, NC-SC",2003,1867238,57510558,1137783,105.18333333333334
16740,"Charlotte-Concord-Gastonia, NC-SC",2004,1906396,63998792,1166374,108.3425
