,GeoFips,MSA,Year,Population,Personal Income,Number Jobs
4998,35620,"New York-Newark-Jersey City, NY-NJ-PA",2018,19276644.0,1475920082.0,12884057.0
4218,31080,"Los Angeles-Long Beach-Anaheim, CA",2018,13249879.0,846486801.0,8850436.0
1378,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2018,9484158.0,584625041.0,6135579.0
1738,19100,"Dallas-Fort Worth-Arlington, TX",2018,7455756.0,423961883.0,5085031.0
3198,26420,"Houston-The Woodlands-Sugar Land, TX",2018,6976147.0,398715792.0,4296886.0
7318,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2018,6247841.0,451967783.0,4434939.0
4518,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",2018,6143837.0,363413990.0,4108797.0
5398,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018,6091208.0,391224070.0,3849638.0
358,12060,"Atlanta-Sandy Springs-Alpharetta, GA",2018,5945303.0,316220617.0,3878093.0
858,14460,"Boston-Cambridge-Newton, MA-NH",2018,4859536.0,383529173.0,3673566.0
5418,38060,"Phoenix-Mesa-Chandler, AZ",2018,4849209.0,225676984.0,2790209.0
6238,41860,"San Francisco-Oakland-Berkeley, CA",2018,4726314.0,473747078.0,3407818.0
5838,40140,"Riverside-San Bernardino-Ontario, CA",2018,4612542.0,186261819.0,2124375.0
1958,19820,"Detroit-Warren-Dearborn, MI",2018,4322084.0,227218784.0,2627875.0
6418,42660,"Seattle-Tacoma-Bellevue, WA",2018,3935179.0,294409674.0,2668890.0
4618,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2018,3610061.0,227122134.0,2533230.0
6218,41740,"San Diego-Chula Vista-Carlsbad, CA",2018,3333861.0,203855654.0,2160038.0
6858,45300,"Tampa-St. Petersburg-Clearwater, FL",2018,3154649.0,149314487.0,1835600.0
1918,19740,"Denver-Aurora-Lakewood, CO",2018,2931665.0,189649107.0,2087752.0
6078,41180,"St. Louis, MO-IL",2018,2803958.0,154995620.0,1792387.0
