GeoFips,MSA,Year,Population,Personal Income,Number Jobs
10180,"Abilene, TX",2000,160288,3675392,91027
10180,"Abilene, TX",2001,158917,3753367,89511
10180,"Abilene, TX",2002,159012,3905004,90338
10180,"Abilene, TX",2003,158810,4137066,91132
10180,"Abilene, TX",2004,160156,4325061,91998
10180,"Abilene, TX",2005,160761,4552568,92937
10180,"Abilene, TX",2006,161389,4850810,94097
10180,"Abilene, TX",2007,162023,5119572,96484
10180,"Abilene, TX",2008,162508,5632799,99264
10180,"Abilene, TX",2009,163888,5415851,97269
10180,"Abilene, TX",2010,165585,5705250,96809
10180,"Abilene, TX",2011,166634,6052939,98193
10180,"Abilene, TX",2012,167442,6356517,99843
10180,"Abilene, TX",2013,167473,6534805,101199
10180,"Abilene, TX",2014,168342,7010125,102316
10180,"Abilene, TX",2015,169688,6872897,102611
10180,"Abilene, TX",2016,170017,6797808,102601
10180,"Abilene, TX",2017,170429,6966419,102786
10180,"Abilene, TX",2018,171150,7459618,104536
10180,"Abilene, TX",2019,172060,7837655,107405
10420,"Akron, OH",2000,695946,20750568,397340
10420,"Akron, OH",2001,698108,21099545,396954
10420,"Akron, OH",2002,699533,21415769,396663
10420,"Akron, OH",2003,701139,22250786,396391
10420,"Akron, OH",2004,701811,23095011,404591
10420,"Akron, OH",2005,702498,23725368,412097
10420,"Akron, OH",2006,702433,24662208,417595
10420,"Akron, OH",2007,703423,25942891,424012
10420,"Akron, OH",2008,703300,27003814,424079
10420,"Akron, OH",2009,703361,26175360,404521
10420,"Akron, OH",2010,703031,26886702,402554
10420,"Akron, OH",2011,703200,28023720,407811
10420,"Akron, OH",2012,702109,28861978,412049
10420,"Akron, OH",2013,703621,29411698,414502
10420,"Akron, OH",2014,704908,30821441,421225
10420,"Akron, OH",2015,704382,31731732,426047
10420,"Akron, OH",2016,703524,32153668,427394
10420,"Akron, OH",2017,703987,33455069,428034
10420,"Akron, OH",2018,703855,34880215,430261
10420,"Akron, OH",2019,703479,35944121,433800
10500,"Albany, GA",2000,153585,3448146,79557
10500,"Albany, GA",2001,153730,3544067,78011
10500,"Albany, GA",2002,153024,3695068,77100
10500,"Albany, GA",2003,152790,3833427,78282
10500,"Albany, GA",2004,152887,3930646,78126
10500,"Albany, GA",2005,152919,4064538,80177
10500,"Albany, GA",2006,153535,4154201,80621
10500,"Albany, GA",2007,153661,4311977,81153
10500,"Albany, GA",2008,153823,4490088,80663
10500,"Albany, GA",2009,154409,4591059,78714
10500,"Albany, GA",2010,154145,4727287,77793
10500,"Albany, GA",2011,154545,5075541,79189
10500,"Albany, GA",2012,153976,5101696,79388
10500,"Albany, GA",2013,152667,5051615,79694
10500,"Albany, GA",2014,151949,5168357,80577
10500,"Albany, GA",2015,150387,5272524,81418
