GeoFips,MSA,Year,Population,Personal Income,Number Jobs
10180,"Abilene, TX",1969,125138,397478,56041
10180,"Abilene, TX",1970,122505,445225,56215
10180,"Abilene, TX",1971,124841,476061,56614
10180,"Abilene, TX",1972,128517,541293,59092
10180,"Abilene, TX",1973,127533,581519,60359
10180,"Abilene, TX",1974,128625,655804,63366
10180,"Abilene, TX",1975,131031,771668,65822
10180,"Abilene, TX",1976,133379,852803,68298
10180,"Abilene, TX",1977,133052,926754,69994
10180,"Abilene, TX",1978,134462,1062407,72932
10180,"Abilene, TX",1979,136601,1210051,75773
10180,"Abilene, TX",1980,140098,1396724,78280
10180,"Abilene, TX",1981,143310,1681889,84737
10180,"Abilene, TX",1982,148899,1805340,86685
10180,"Abilene, TX",1983,152939,1890446,86693
10180,"Abilene, TX",1984,153587,2010700,87720
10180,"Abilene, TX",1985,153470,2138884,88722
10180,"Abilene, TX",1986,155031,2128927,83720
10180,"Abilene, TX",1987,153655,2097573,82965
10180,"Abilene, TX",1988,150042,2189009,83645
10180,"Abilene, TX",1989,149324,2274917,82367
10180,"Abilene, TX",1990,147834,2324820,80942
10180,"Abilene, TX",1991,147400,2382790,82259
10180,"Abilene, TX",1992,149917,2541971,82277
10180,"Abilene, TX",1993,152909,2668070,84362
10180,"Abilene, TX",1994,153779,2724394,85682
10180,"Abilene, TX",1995,156097,2915506,88181
10180,"Abilene, TX",1996,156351,3105725,89587
10180,"Abilene, TX",1997,157405,3322907,91934
10180,"Abilene, TX",1998,158264,3465354,92577
10180,"Abilene, TX",1999,159755,3590993,91417
10180,"Abilene, TX",2000,160288,3675392,91027
10180,"Abilene, TX",2001,158917,3753367,89511
10180,"Abilene, TX",2002,159012,3905004,90338
10180,"Abilene, TX",2003,158810,4137066,91132
10180,"Abilene, TX",2004,160156,4325061,91998
10180,"Abilene, TX",2005,160761,4552568,92937
10180,"Abilene, TX",2006,161389,4850810,94097
10180,"Abilene, TX",2007,162023,5119572,96484
10180,"Abilene, TX",2008,162508,5632799,99264
10180,"Abilene, TX",2009,163888,5415851,97269
10180,"Abilene, TX",2010,165585,5705250,96809
10180,"Abilene, TX",2011,166634,6052939,98193
10180,"Abilene, TX",2012,167442,6356517,99843
10180,"Abilene, TX",2013,167473,6534805,101199
10180,"Abilene, TX",2014,168342,7010125,102316
10180,"Abilene, TX",2015,169688,6872897,102611
10180,"Abilene, TX",2016,170017,6797808,102601
10180,"Abilene, TX",2017,170429,6966419,102786
10180,"Abilene, TX",2018,171150,7459618,104536
10180,"Abilene, TX",2019,172060,7837655,107405
10420,"Akron, OH",1969,676214,2720989,280847
10420,"Akron, OH",1970,679077,2838776,279931
10420,"Akron, OH",1971,679231,2990538,274958
10420,"Akron, OH",1972,677046,3263561,283207
10420,"Akron, OH",1973,676196,3568727,292971
10420,"Akron, OH",1974,670284,3882656,296332
10420,"Akron, OH",1975,672844,4114360,285325
