GeoFips,MSA,Year,Population,Personal Income,Number Jobs
10180,"Abilene, TX",2000,160288.0,3675392.0,91027.0
10180,"Abilene, TX",2001,158917.0,3753367.0,89511.0
10180,"Abilene, TX",2002,159012.0,3905004.0,90338.0
10180,"Abilene, TX",2003,158810.0,4137066.0,91132.0
10180,"Abilene, TX",2004,160156.0,4325061.0,91998.0
10180,"Abilene, TX",2005,160761.0,4552568.0,92937.0
10180,"Abilene, TX",2006,161389.0,4850810.0,94097.0
10180,"Abilene, TX",2007,162023.0,5119572.0,96484.0
10180,"Abilene, TX",2008,162508.0,5632799.0,99264.0
10180,"Abilene, TX",2009,163888.0,5415851.0,97269.0
10180,"Abilene, TX",2010,165585.0,5705250.0,96809.0
10180,"Abilene, TX",2011,166634.0,6052939.0,98193.0
10180,"Abilene, TX",2012,167442.0,6356517.0,99843.0
10180,"Abilene, TX",2013,167473.0,6534805.0,101199.0
10180,"Abilene, TX",2014,168342.0,7010125.0,102316.0
10180,"Abilene, TX",2015,169688.0,6872897.0,102611.0
10180,"Abilene, TX",2016,170017.0,6797808.0,102601.0
10180,"Abilene, TX",2017,170429.0,6966419.0,102786.0
10180,"Abilene, TX",2018,171150.0,7459618.0,104536.0
10180,"Abilene, TX",2019,172060.0,7837655.0,107405.0
10420,"Akron, OH",2000,695946.0,20750568.0,397340.0
10420,"Akron, OH",2001,698108.0,21099545.0,396954.0
10420,"Akron, OH",2002,699533.0,21415769.0,396663.0
10420,"Akron, OH",2003,701139.0,22250786.0,396391.0
10420,"Akron, OH",2004,701811.0,23095011.0,404591.0
10420,"Akron, OH",2005,702498.0,23725368.0,412097.0
10420,"Akron, OH",2006,702433.0,24662208.0,417595.0
10420,"Akron, OH",2007,703423.0,25942891.0,424012.0
10420,"Akron, OH",2008,703300.0,27003814.0,424079.0
10420,"Akron, OH",2009,703361.0,26175360.0,404521.0
10420,"Akron, OH",2010,703031.0,26886702.0,402554.0
10420,"Akron, OH",2011,703200.0,28023720.0,407811.0
10420,"Akron, OH",2012,702109.0,28861978.0,412049.0
10420,"Akron, OH",2013,703621.0,29411698.0,414502.0
10420,"Akron, OH",2014,704908.0,30821441.0,421225.0
10420,"Akron, OH",2015,704382.0,31731732.0,426047.0
10420,"Akron, OH",2016,703524.0,32153668.0,427394.0
10420,"Akron, OH",2017,703987.0,33455069.0,428034.0
10420,"Akron, OH",2018,703855.0,34880215.0,430261.0
10420,"Akron, OH",2019,703479.0,35944121.0,433800.0
10500,"Albany, GA",2000,153585.0,3448146.0,79557.0
10500,"Albany, GA",2001,153730.0,3544067.0,78011.0
10500,"Albany, GA",2002,153024.0,3695068.0,77100.0
10500,"Albany, GA",2003,152790.0,3833427.0,78282.0
10500,"Albany, GA",2004,152887.0,3930646.0,78126.0
10500,"Albany, GA",2005,152919.0,4064538.0,80177.0
10500,"Albany, GA",2006,153535.0,4154201.0,80621.0
10500,"Albany, GA",2007,153661.0,4311977.0,81153.0
10500,"Albany, GA",2008,153823.0,4490088.0,80663.0
10500,"Albany, GA",2009,154409.0,4591059.0,78714.0
10500,"Albany, GA",2010,154145.0,4727287.0,77793.0
10500,"Albany, GA",2011,154545.0,5075541.0,79189.0
10500,"Albany, GA",2012,153976.0,5101696.0,79388.0
10500,"Albany, GA",2013,152667.0,5051615.0,79694.0
10500,"Albany, GA",2014,151949.0,5168357.0,80577.0
10500,"Albany, GA",2015,150387.0,5272524.0,81418.0
10500,"Albany, GA",2016,149137.0,5324540.0,81714.0
10500,"Albany, GA",2017,148090.0,5446810.0,81872.0
10500,"Albany, GA",2018,147840.0,5622985.0,82431.0
10500,"Albany, GA",2019,146726.0,5857583.0,83286.0
10540,"Albany-Lebanon, OR",2000,103020.0,2375900.0,52649.0
10540,"Albany-Lebanon, OR",2001,103544.0,2593500.0,54749.0
10540,"Albany-Lebanon, OR",2002,104561.0,2670594.0,54136.0
10540,"Albany-Lebanon, OR",2003,106035.0,2730439.0,53710.0
10540,"Albany-Lebanon, OR",2004,106799.0,2914377.0,54697.0
10540,"Albany-Lebanon, OR",2005,108132.0,3029078.0,57088.0
10540,"Albany-Lebanon, OR",2006,110764.0,3282355.0,58162.0
10540,"Albany-Lebanon, OR",2007,112932.0,3446514.0,59546.0
10540,"Albany-Lebanon, OR",2008,114967.0,3562032.0,59473.0
