,GeoFips,MSA,Latitude,Longitude
0,33460,Minneapolis-St. Paul-Bloomington MN-WI Metro Area,45.0649958045,-93.3455700428
3,33860,Montgomery AL Metro Area,32.3606111293,-86.40323999350001
4,34140,Moscow ID Micro Area,46.81617621189999,-116.71172317799999
5,23940,Gillette WY Micro Area,44.24833859020001,-105.54831341399999
6,24300,Grand Junction CO Metro Area,39.0182904958,-108.46644018299999
7,24620,Greeneville TN Micro Area,36.1753512461,-82.8458266599
8,25620,Hattiesburg MS Metro Area,31.1874083121,-89.2287365776
9,26900,Indianapolis-Carmel-Anderson IN Metro Area,39.747431332,-86.2061380458
10,27300,Jacksonville IL Micro Area,39.6936976381,-90.285131111
11,28940,Knoxville TN Metro Area,36.044725976500004,-84.1374714475
13,29060,Laconia NH Micro Area,43.5179689655,-71.4226936063
14,29260,La Grande OR Micro Area,45.310225080200006,-118.008777581
15,29980,Lawrenceburg TN Micro Area,35.2172743542,-87.3955844374
16,30140,Lebanon PA Metro Area,40.3672314599,-76.4577127611
17,12020,Athens-Clarke County GA Metro Area,33.949007841,-83.2137879642
18,41860,San Francisco-Oakland-Hayward CA Metro Area,37.774109314099995,-122.27410915899999
19,40980,Saginaw MI Metro Area,43.3350287366,-84.0531870389
20,41980,San Juan-Carolina-Caguas PR Metro Area,18.2952854421,-66.0389168115
21,43020,Shawano WI Micro Area,44.8509520535,-88.74951930969999
22,43980,Spencer IA Micro Area,43.082580399099996,-95.1509194224
23,45500,Texarkana TX-AR Metro Area,33.473624818400005,-94.213727705
24,46340,Tyler TX Metro Area,32.375035428800004,-95.2691826825
25,46660,Valdosta GA Metro Area,30.8294866577,-83.2415960867
26,47580,Warner Robins GA Metro Area,32.4076217441,-83.6363832927
27,47820,Washington NC Micro Area,35.486983815,-76.8453144055
28,47900,Washington-Arlington-Alexandria DC-VA-MD-WV Metro Area,38.8170930865,-77.4482442583
29,48100,Wauchula FL Micro Area,27.4927094815,-81.8100059395
30,48620,Wichita KS Metro Area,37.624985230300005,-97.3982466576
31,49260,Woodward OK Micro Area,36.4226731201,-99.2649706526
32,49380,Worthington MN Micro Area,43.6742401283,-95.75338693110001
33,34580,Mount Vernon-Anacortes WA Metro Area,48.482076114799995,-121.801606834
34,34940,Naples-Immokalee-Marco Island FL Metro Area,26.0992389916,-81.3809730575
35,35380,New Orleans-Metairie LA Metro Area,29.8094002056,-89.7083643845
36,36420,Oklahoma City OK Metro Area,35.429867913,-97.50388148379999
37,37300,Palestine TX Micro Area,31.813325604,-95.6525471586
38,37500,Paragould AR Micro Area,36.1176977234,-90.5590717285
39,38780,Portales NM Micro Area,34.021183382800004,-103.48002530000001
40,38860,Portland-South Portland ME Metro Area,43.6529637608,-70.4168708891
41,39300,Providence-Warwick RI-MA Metro Area,41.644934208,-71.3896663163
42,39340,Provo-Orem UT Metro Area,39.864503780599996,-112.352638825
43,20500,Durham-Chapel Hill NC Metro Area,35.9909976497,-79.0996139391
44,20580,Eagle Pass TX Micro Area,28.742590106599998,-100.314514029
45,31860,Mankato-North Mankato MN Metro Area,44.1544286068,-94.13558732690001
46,12580,Baltimore-Columbia-Towson MD Metro Area,39.3055423529,-76.5510087675
47,12700,Barnstable Town MA Metro Area,41.7734492735,-70.2381374923
48,12940,Baton Rouge LA Metro Area,30.5710500483,-91.1327840317
49,15660,Calhoun GA Micro Area,34.503359277600005,-84.8757528752
50,16060,Carbondale-Marion IL Metro Area,37.7618468184,-89.19024027649999
51,16540,Chambersburg-Waynesboro PA Metro Area,39.927420456,-77.72126796020001
