GeoFips,MSA,Year,Population,Personal Income,Number Jobs,HPI
12580,"Baltimore-Columbia-Towson, MD",1975,2184332,14987764,1038096,27.31916666666667
12580,"Baltimore-Columbia-Towson, MD",1976,2188964,16344005,1040323,29.631666666666664
12580,"Baltimore-Columbia-Towson, MD",1977,2201877,17827450,1068371,32.359166666666674
12580,"Baltimore-Columbia-Towson, MD",1978,2204362,19889912,1108082,35.471666666666664
12580,"Baltimore-Columbia-Towson, MD",1979,2209160,21951910,1139209,39.0375
12580,"Baltimore-Columbia-Towson, MD",1980,2203385,24628751,1139485,42.39666666666667
12580,"Baltimore-Columbia-Towson, MD",1981,2214413,27264037,1146005,46.29583333333333
12580,"Baltimore-Columbia-Towson, MD",1982,2220748,29340768,1137050,47.21833333333333
12580,"Baltimore-Columbia-Towson, MD",1983,2228439,31328742,1164025,48.17250000000001
12580,"Baltimore-Columbia-Towson, MD",1984,2244735,34416475,1202935,50.99083333333334
12580,"Baltimore-Columbia-Towson, MD",1985,2255970,37069457,1243523,53.81083333333334
12580,"Baltimore-Columbia-Towson, MD",1986,2285633,39775035,1276452,58.53083333333333
12580,"Baltimore-Columbia-Towson, MD",1987,2309719,42482919,1332191,65.56666666666668
12580,"Baltimore-Columbia-Towson, MD",1988,2340870,46438466,1366737,72.25250000000003
12580,"Baltimore-Columbia-Towson, MD",1989,2360610,49698479,1393176,77.875
12580,"Baltimore-Columbia-Towson, MD",1990,2390543,52649611,1404128,81.22916666666667
12580,"Baltimore-Columbia-Towson, MD",1991,2418136,54612636,1358484,81.63083333333334
12580,"Baltimore-Columbia-Towson, MD",1992,2440078,57198936,1339950,82.77416666666666
12580,"Baltimore-Columbia-Towson, MD",1993,2458038,59178785,1347488,82.75333333333333
12580,"Baltimore-Columbia-Towson, MD",1994,2475364,61769826,1371332,83.755
12580,"Baltimore-Columbia-Towson, MD",1995,2490370,64703504,1394314,83.93166666666666
12580,"Baltimore-Columbia-Towson, MD",1996,2501453,67881395,1409343,84.64083333333333
12580,"Baltimore-Columbia-Towson, MD",1997,2513492,71926659,1436116,85.3883333333333
12580,"Baltimore-Columbia-Towson, MD",1998,2525266,77241641,1466512,87.31916666666666
12580,"Baltimore-Columbia-Towson, MD",1999,2540307,82273178,1509853,91.81083333333332
12580,"Baltimore-Columbia-Towson, MD",2000,2557958,88618199,1543762,97.52
12580,"Baltimore-Columbia-Towson, MD",2001,2575471,92560218,1547690,105.05833333333334
12580,"Baltimore-Columbia-Towson, MD",2002,2596501,96206347,1558796,116.96166666666666
12580,"Baltimore-Columbia-Towson, MD",2003,2614232,100100963,1566963,134.72583333333333
12580,"Baltimore-Columbia-Towson, MD",2004,2630946,106048601,1593882,158.9416666666667
12580,"Baltimore-Columbia-Towson, MD",2005,2644231,112150514,1623895,189.62083333333337
12580,"Baltimore-Columbia-Towson, MD",2006,2658162,119250613,1658564,205.0558333333333
12580,"Baltimore-Columbia-Towson, MD",2007,2667619,124913017,1689183,204.59833333333336
12580,"Baltimore-Columbia-Towson, MD",2008,2679819,129517393,1686091,189.07583333333332
12580,"Baltimore-Columbia-Towson, MD",2009,2696018,128216434,1649432,174.06916666666663
12580,"Baltimore-Columbia-Towson, MD",2010,2715738,132299439,1645096,167.87166666666667
12580,"Baltimore-Columbia-Towson, MD",2011,2733785,139408288,1677182,160.79249999999996
12580,"Baltimore-Columbia-Towson, MD",2012,2754637,143713198,1707280,161.42333333333332
12580,"Baltimore-Columbia-Towson, MD",2013,2768233,144540375,1734251,169.26166666666666
12580,"Baltimore-Columbia-Towson, MD",2014,2780055,150789783,1755256,172.35916666666665
12580,"Baltimore-Columbia-Towson, MD",2015,2790053,156931804,1788444,174.10833333333335
12580,"Baltimore-Columbia-Towson, MD",2016,2794111,161864493,1813506,178.41166666666663
12580,"Baltimore-Columbia-Towson, MD",2017,2798707,167288930,1833823,185.8
12580,"Baltimore-Columbia-Towson, MD",2018,2800743,173683854,1865227,192.07416666666668
12580,"Baltimore-Columbia-Towson, MD",2019,2800053,179169101,1889243,195.4783333333333
14460,"Boston-Cambridge-Newton, MA-NH",1975,3953504,26958682,1943843,15.090833333333334
14460,"Boston-Cambridge-Newton, MA-NH",1976,3946719,28988024,1961507,15.513333333333335
