MSA,Year,HPI
"Baltimore-Columbia-Towson, MD",1975-01-31,26.81
"Baltimore-Columbia-Towson, MD",1975-02-28,26.79
"Baltimore-Columbia-Towson, MD",1975-03-31,26.77
"Baltimore-Columbia-Towson, MD",1975-04-30,26.78
"Baltimore-Columbia-Towson, MD",1975-05-31,26.85
"Baltimore-Columbia-Towson, MD",1975-06-30,27.03
"Baltimore-Columbia-Towson, MD",1975-07-31,27.27
"Baltimore-Columbia-Towson, MD",1975-08-31,27.51
"Baltimore-Columbia-Towson, MD",1975-09-30,27.7
"Baltimore-Columbia-Towson, MD",1975-10-31,27.87
"Baltimore-Columbia-Towson, MD",1975-11-30,28.1
"Baltimore-Columbia-Towson, MD",1975-12-31,28.35
"Baltimore-Columbia-Towson, MD",1976-01-31,28.58
"Baltimore-Columbia-Towson, MD",1976-02-29,28.78
"Baltimore-Columbia-Towson, MD",1976-03-31,28.98
"Baltimore-Columbia-Towson, MD",1976-04-30,29.16
"Baltimore-Columbia-Towson, MD",1976-05-31,29.35
"Baltimore-Columbia-Towson, MD",1976-06-30,29.6
"Baltimore-Columbia-Towson, MD",1976-07-31,29.91
"Baltimore-Columbia-Towson, MD",1976-08-31,30.15
"Baltimore-Columbia-Towson, MD",1976-09-30,30.23
"Baltimore-Columbia-Towson, MD",1976-10-31,30.19
"Baltimore-Columbia-Towson, MD",1976-11-30,30.2
"Baltimore-Columbia-Towson, MD",1976-12-31,30.45
"Baltimore-Columbia-Towson, MD",1977-01-31,30.87
"Baltimore-Columbia-Towson, MD",1977-02-28,31.28
"Baltimore-Columbia-Towson, MD",1977-03-31,31.55
"Baltimore-Columbia-Towson, MD",1977-04-30,31.72
"Baltimore-Columbia-Towson, MD",1977-05-31,31.95
"Baltimore-Columbia-Towson, MD",1977-06-30,32.3
"Baltimore-Columbia-Towson, MD",1977-07-31,32.65
"Baltimore-Columbia-Towson, MD",1977-08-31,32.88
"Baltimore-Columbia-Towson, MD",1977-09-30,33.01
"Baltimore-Columbia-Towson, MD",1977-10-31,33.14
"Baltimore-Columbia-Towson, MD",1977-11-30,33.35
"Baltimore-Columbia-Towson, MD",1977-12-31,33.61
"Baltimore-Columbia-Towson, MD",1978-01-31,33.88
"Baltimore-Columbia-Towson, MD",1978-02-28,34.07
"Baltimore-Columbia-Towson, MD",1978-03-31,34.21
"Baltimore-Columbia-Towson, MD",1978-04-30,34.39
"Baltimore-Columbia-Towson, MD",1978-05-31,34.73
"Baltimore-Columbia-Towson, MD",1978-06-30,35.2
"Baltimore-Columbia-Towson, MD",1978-07-31,35.64
"Baltimore-Columbia-Towson, MD",1978-08-31,36.03
"Baltimore-Columbia-Towson, MD",1978-09-30,36.4
"Baltimore-Columbia-Towson, MD",1978-10-31,36.76
"Baltimore-Columbia-Towson, MD",1978-11-30,37.09
"Baltimore-Columbia-Towson, MD",1978-12-31,37.26
"Baltimore-Columbia-Towson, MD",1979-01-31,37.31
"Baltimore-Columbia-Towson, MD",1979-02-28,37.44
"Baltimore-Columbia-Towson, MD",1979-03-31,37.67
"Baltimore-Columbia-Towson, MD",1979-04-30,38.01
"Baltimore-Columbia-Towson, MD",1979-05-31,38.55
"Baltimore-Columbia-Towson, MD",1979-06-30,39.24
"Baltimore-Columbia-Towson, MD",1979-07-31,39.75
"Baltimore-Columbia-Towson, MD",1979-08-31,39.95
"Baltimore-Columbia-Towson, MD",1979-09-30,39.94
"Baltimore-Columbia-Towson, MD",1979-10-31,39.95
"Baltimore-Columbia-Towson, MD",1979-11-30,40.16
"Baltimore-Columbia-Towson, MD",1979-12-31,40.48
"Baltimore-Columbia-Towson, MD",1980-01-31,40.76
"Baltimore-Columbia-Towson, MD",1980-02-29,40.99
"Baltimore-Columbia-Towson, MD",1980-03-31,41.24
"Baltimore-Columbia-Towson, MD",1980-04-30,41.5
"Baltimore-Columbia-Towson, MD",1980-05-31,41.79
"Baltimore-Columbia-Towson, MD",1980-06-30,42.11
"Baltimore-Columbia-Towson, MD",1980-07-31,42.42
"Baltimore-Columbia-Towson, MD",1980-08-31,42.71
"Baltimore-Columbia-Towson, MD",1980-09-30,43.07
"Baltimore-Columbia-Towson, MD",1980-10-31,43.55
"Baltimore-Columbia-Towson, MD",1980-11-30,44.08
"Baltimore-Columbia-Towson, MD",1980-12-31,44.54
"Baltimore-Columbia-Towson, MD",1981-01-31,44.87
"Baltimore-Columbia-Towson, MD",1981-02-28,45.08
"Baltimore-Columbia-Towson, MD",1981-03-31,45.21
"Baltimore-Columbia-Towson, MD",1981-04-30,45.36
"Baltimore-Columbia-Towson, MD",1981-05-31,45.6
"Baltimore-Columbia-Towson, MD",1981-06-30,45.95
"Baltimore-Columbia-Towson, MD",1981-07-31,46.28
"Baltimore-Columbia-Towson, MD",1981-08-31,46.6
"Baltimore-Columbia-Towson, MD",1981-09-30,47.02
"Baltimore-Columbia-Towson, MD",1981-10-31,47.5
"Baltimore-Columbia-Towson, MD",1981-11-30,47.91
"Baltimore-Columbia-Towson, MD",1981-12-31,48.17
"Baltimore-Columbia-Towson, MD",1982-01-31,48.24
"Baltimore-Columbia-Towson, MD",1982-02-28,48.1
"Baltimore-Columbia-Towson, MD",1982-03-31,47.8
"Baltimore-Columbia-Towson, MD",1982-04-30,47.43
"Baltimore-Columbia-Towson, MD",1982-05-31,47.12
"Baltimore-Columbia-Towson, MD",1982-06-30,47.0
"Baltimore-Columbia-Towson, MD",1982-07-31,47.04
"Baltimore-Columbia-Towson, MD",1982-08-31,47.03
"Baltimore-Columbia-Towson, MD",1982-09-30,46.9
"Baltimore-Columbia-Towson, MD",1982-10-31,46.73
"Baltimore-Columbia-Towson, MD",1982-11-30,46.63
"Baltimore-Columbia-Towson, MD",1982-12-31,46.6
"Baltimore-Columbia-Towson, MD",1983-01-31,46.64
"Baltimore-Columbia-Towson, MD",1983-02-28,46.78
"Baltimore-Columbia-Towson, MD",1983-03-31,46.99
