"CAINC30 Economic Profile"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"00998","United States (Metropolitan Portion)",76332670,76529099,76690971,78994380,82553134,83976310,82932953,85068711,88085988,92211162,95317557,96192405,97080615,96574130,97890710,102350758,105527363,107959410,110916491,114554143,116872036,118697766,117923088,118241772,120377066,123222447,126421592,129265304,132366465,136021698,138869846,142396424,142876022,142590402,143452007,146128722,149308196,152553091,155904064,155704073,150901632,150313128,153263708,155994342,159160185,162856760,166858877,169925930,172857088,176625835,179929128
"10180","Abilene, TX (Metropolitan Statistical Area)",56041,56215,56614,59092,60359,63366,65822,68298,69994,72932,75773,78280,84737,86685,86693,87720,88722,83720,82965,83645,82367,80942,82259,82277,84362,85682,88181,89587,91934,92577,91417,91027,89511,90338,91132,91998,92937,94097,96484,99264,97269,96809,98193,99843,101199,102316,102611,102601,102786,104536,107405
"10420","Akron, OH (Metropolitan Statistical Area)",280847,279931,274958,283207,292971,296332,285325,284907,297537,305459,307763,300754,297681,289691,285981,296150,303855,308919,316920,325266,333052,337124,337813,341070,350680,364299,374193,380965,387561,385717,393612,397340,396954,396663,396391,404591,412097,417595,424012,424079,404521,402554,407811,412049,414502,421225,426047,427394,428034,430261,433800
"10500","Albany, GA (Metropolitan Statistical Area)",52605,54371,56006,59514,62897,60104,57820,58539,60289,63127,65194,64930,65616,64644,64805,68104,69838,69663,69817,69309,69849,71183,70695,70547,72265,75195,77353,79382,79818,79360,78769,79557,78011,77100,78282,78126,80177,80621,81153,80663,78714,77793,79189,79388,79694,80577,81418,81714,81872,82431,83286
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)",29328,29190,30345,31600,33577,34924,35650,37031,38988,40485,41045,40737,39457,37614,38353,39132,39314,39908,40842,42853,44288,44792,44656,44762,46076,48997,51874,54263,55265,54813,53186,52649,54749,54136,53710,54697,57088,58162,59546,59473,56122,55562,55341,55676,56161,57670,58997,59661,61777,63422,64277
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",332865,338712,347216,350334,358789,359694,354340,357485,366349,378544,385189,385427,383685,384637,387575,404423,419617,435382,442103,457684,468296,477904,474065,476931,483377,491282,484903,482555,487706,500443,512344,524195,516432,514437,518106,524002,530740,534257,540904,543929,535314,528095,531541,537634,543162,548362,556276,563056,569909,575772,579135
"10740","Albuquerque, NM (Metropolitan Statistical Area) *",148308,152994,164049,177980,187854,193502,198943,210271,221559,237762,247977,248765,250776,248041,259621,275851,290100,300497,314235,330259,336572,341067,348198,355488,370109,389822,411302,418022,425091,431253,433808,446700,448753,448871,454370,466415,476212,494456,503901,503242,486519,477820,476883,476646,479148,483204,489372,497041,502416,509209,518672
"10780","Alexandria, LA (Metropolitan Statistical Area)",52652,50427,52411,52809,55643,55277,55321,57332,58249,60432,60097,61010,61163,61401,62122,63636,63606,63566,64188,64413,65261,65706,65863,64337,65441,66500,69293,69670,70362,72287,74507,75003,74686,75251,75320,77127,79635,83038,84415,84931,82896,81419,81795,81062,80884,81642,81926,81655,81034,80975,81324
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",269222,272973,271090,277879,292047,297119,290754,291781,296393,304849,310781,310670,310155,302259,298035,309576,314763,317329,329686,339830,345404,349846,345339,345658,347081,351274,355394,357386,365995,369703,377848,388803,396203,395667,400604,408168,418886,428104,435473,435265,424470,425825,432726,438772,445553,452876,459142,466987,472756,480595,489934
"11020","Altoona, PA (Metropolitan Statistical Area)",56929,57438,56621,57144,59254,58969,57981,59523,60379,61616,61945,60840,59371,56566,55220,56874,58346,59616,60857,62323,63201,64824,63975,65472,67208,68011,69263,70018,70970,71039,72406,72331,72750,72974,73403,74357,75271,75417,76076,75332,74055,73707,74408,74542,75183,75206,75538,75259,75510,75542,75728
