MSA,city,state_id,lat,lng,MSA
"New York, NY",New York,NY,40.6943,-73.9249,"New York, NY"
"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068,"Los Angeles, CA"
"Chicago, IL",Chicago,IL,41.8373,-87.6862,"Chicago, IL"
"Miami, FL",Miami,FL,25.7839,-80.2102,"Miami, FL"
"Dallas, TX",Dallas,TX,32.7936,-96.7662,"Dallas, TX"
"Philadelphia, PA",Philadelphia,PA,40.0077,-75.1339,"Philadelphia, PA"
"Houston, TX",Houston,TX,29.7863,-95.3889,"Houston, TX"
"Atlanta, GA",Atlanta,GA,33.7627,-84.4224,"Atlanta, GA"
"Washington, DC",Washington,DC,38.9047,-77.0163,"Washington, DC"
"Boston, MA",Boston,MA,42.3188,-71.0846,"Boston, MA"
"Phoenix, AZ",Phoenix,AZ,33.5722,-112.0891,"Phoenix, AZ"
"Seattle, WA",Seattle,WA,47.6211,-122.3244,"Seattle, WA"
"San Francisco, CA",San Francisco,CA,37.7562,-122.443,"San Francisco, CA"
"Detroit, MI",Detroit,MI,42.3834,-83.1024,"Detroit, MI"
"San Diego, CA",San Diego,CA,32.8312,-117.1225,"San Diego, CA"
"Minneapolis, MN",Minneapolis,MN,44.9635,-93.2678,"Minneapolis, MN"
"Tampa, FL",Tampa,FL,27.9942,-82.4451,"Tampa, FL"
"Denver, CO",Denver,CO,39.7621,-104.8759,"Denver, CO"
"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496,"Brooklyn, NY"
"Queens, NY",Queens,NY,40.7498,-73.7976,"Queens, NY"
"Riverside, CA",Riverside,CA,33.9381,-117.3948,"Riverside, CA"
"Baltimore, MD",Baltimore,MD,39.3051,-76.6144,"Baltimore, MD"
"Las Vegas, NV",Las Vegas,NV,36.2333,-115.2654,"Las Vegas, NV"
"Portland, OR",Portland,OR,45.5372,-122.65,"Portland, OR"
"San Antonio, TX",San Antonio,TX,29.4658,-98.5253,"San Antonio, TX"
"St. Louis, MO",St. Louis,MO,38.6358,-90.2451,"St. Louis, MO"
"Sacramento, CA",Sacramento,CA,38.5667,-121.4683,"Sacramento, CA"
"Orlando, FL",Orlando,FL,28.4772,-81.3369,"Orlando, FL"
"San Jose, CA",San Jose,CA,37.3019,-121.8486,"San Jose, CA"
"Cleveland, OH",Cleveland,OH,41.4767,-81.6804,"Cleveland, OH"
