CAINC30 Economic Profile,,,,,,,,,,,,,,,,,,,,,
Personal income (Thousands of dollars) ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
998,United States (Metropolitan Portion),7647165674,7946989970,8084384721,8364828309,8852328826,9369451842,10087408892,10644986044,11006912097,10642905674,11074965986,11761363843,12390306960,12537767993,13287474613,13976306581,14403844319,15127538044,15951832030,16588017991
10180,"Abilene, TX (Metropolitan Statistical Area)",3675392,3753367,3905004,4137066,4325061,4552568,4850810,5119572,5632799,5415851,5705250,6052939,6356517,6534805,7010125,6872897,6797808,6966419,7459618,7837655
10420,"Akron, OH (Metropolitan Statistical Area)",20750568,21099545,21415769,22250786,23095011,23725368,24662208,25942891,27003814,26175360,26886702,28023720,28861978,29411698,30821441,31731732,32153668,33455069,34880215,35944121
10500,"Albany, GA (Metropolitan Statistical Area)",3448146,3544067,3695068,3833427,3930646,4064538,4154201,4311977,4490088,4591059,4727287,5075541,5101696,5051615,5168357,5272524,5324540,5446810,5622985,5857583
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2375900,2593500,2670594,2730439,2914377,3029078,3282355,3446514,3562032,3565145,3697969,3825868,3964446,4026793,4293341,4610378,4836624,5147507,5522081,5816653
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",26800742,28099704,28358097,29358061,30658678,31685602,33436698,34935187,36892825,37222239,38693831,40118185,41582543,42431719,44093361,46347149,47174310,49830518,51561974,53498359
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",19627427,20615963,21402296,22402431,23838742,25413256,27523476,28809412,30233555,30098613,30634965,31977757,32424855,31993265,33889057,35265941,36588821,37324817,38856657,40379815
10780,"Alexandria, LA (Metropolitan Statistical Area)",3397455,3702272,3828594,3873958,4148459,4527139,4779408,4976499,5302408,5257482,5361291,5667339,5923309,5938294,6045886,6160540,6245761,6300415,6570992,6757395
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",22569579,24238713,25010205,25910168,27371525,29310311,30805698,33335736,34465111,33256414,34563981,35852420,36480137,36951573,38526707,40378661,41691305,43078169,45112429,46992336
11020,"Altoona, PA (Metropolitan Statistical Area)",3216044,3255632,3347166,3473739,3645718,3780067,3905991,4093100,4240852,4288406,4439095,4684022,4808282,4794185,4998509,5236887,5312333,5459082,5701223,5881562
