CAINC30 Economic Profile,,,,,,,,,,,,,,,,,,,,,
Population (Number of persons) 3/ ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
998,United States (Metropolitan Portion),237948237,240717866,243260703,245592588,248115013,250646689,253256238,255922913,258627316,261210075,263659818,265915376,268257478,270477172,272833530,275213283,277549164,279600267,281282602,282828601
10180,"Abilene, TX (Metropolitan Statistical Area)",160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060
10420,"Akron, OH (Metropolitan Statistical Area)",695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479
10500,"Albany, GA (Metropolitan Statistical Area)",153585,153730,153024,152790,152887,152919,153535,153661,153823,154409,154145,154545,153976,152667,151949,150387,149137,148090,147840,146726
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",103020,103544,104561,106035,106799,108132,110764,112932,114967,116001,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",827399,831034,836753,844619,850384,854604,860365,863068,866282,869361,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",732220,741932,757716,772128,789237,809551,831252,849641,863383,876448,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018
10780,"Alexandria, LA (Metropolitan Statistical Area)",145179,145102,145416,146017,146973,147930,151142,151506,152442,153164,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",741817,748705,756628,766938,777277,787738,798586,807578,814050,817779,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052
11020,"Altoona, PA (Metropolitan Statistical Area)",128981,128471,127631,127353,127194,126730,127002,127048,127112,127161,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829
11100,"Amarillo, TX (Metropolitan Statistical Area)",229215,230351,232326,235138,237566,240380,242656,244608,246458,249373,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053
11180,"Ames, IA (Metropolitan Statistical Area)",106403,106509,107971,108300,109126,109384,111210,113093,114285,115645,115925,117424,118139,120161,122092,123079,123309,123721,123093,123351
11260,"Anchorage, AK (Metropolitan Statistical Area)",320618,326081,332582,337730,345245,350903,358718,360194,365633,374562,383053,387922,391932,397022,397996,398609,401368,400570,397636,396317
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",324372,328749,332763,336154,339422,342234,344018,345310,341595,343520,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
11540,"Appleton, WI (Metropolitan Statistical Area)",202618,205676,208747,211350,213592,215925,218441,220368,222402,224632,225948,227548,228656,229978,231627,233146,234200,235811,237011,237974
11700,"Asheville, NC (Metropolitan Statistical Area)",370615,374904,379818,385178,390713,396408,404546,411842,417457,422014,425338,428113,430945,435795,439661,444593,450310,454855,459314,462680
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",166763,168973,170838,173847,178106,178974,183171,186781,189948,192021,193439,194375,195984,197590,198361,202565,205402,209106,211468,213750
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",4293475,4402455,4489288,4572541,4659574,4770870,4931848,5066356,5170099,5240828,5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670
