"CAINC30 Economic Profile"
"Personal income (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"00998","United States (Metropolitan Portion)",684087777,739319709,798048937,875093686,968033324,1066312857,1165803536,1281064175,1415460784,1589606840,1776418714,1990215265,2228714960,2393280452,2563471692,2832094071,3042639993,3234764745,3441517357,3733870303,4032052653,4290095771,4435660194,4732181774,4941267162,5191551235,5506149705,5843550169,6215497735,6684716108,7052183697,7647165674,7946989970,8084384721,8364828309,8852328826,9369451842,10087408892,10644986044,11006912097,10642905674,11074965986,11761363843,12390306960,12537767993,13287474613,13976306581,14403844319,15127538044,15951832030,16588017991
"10180","Abilene, TX (Metropolitan Statistical Area)",397478,445225,476061,541293,581519,655804,771668,852803,926754,1062407,1210051,1396724,1681889,1805340,1890446,2010700,2138884,2128927,2097573,2189009,2274917,2324820,2382790,2541971,2668070,2724394,2915506,3105725,3322907,3465354,3590993,3675392,3753367,3905004,4137066,4325061,4552568,4850810,5119572,5632799,5415851,5705250,6052939,6356517,6534805,7010125,6872897,6797808,6966419,7459618,7837655
"10420","Akron, OH (Metropolitan Statistical Area)",2720989,2838776,2990538,3263561,3568727,3882656,4114360,4425010,4944761,5471768,6012395,6607832,7243539,7575849,7987788,8702211,9210231,9636333,10095804,10770981,11738137,12392974,12698519,13573246,14178987,15065195,15997336,16821909,17779727,18913133,19574962,20750568,21099545,21415769,22250786,23095011,23725368,24662208,25942891,27003814,26175360,26886702,28023720,28861978,29411698,30821441,31731732,32153668,33455069,34880215,35944121
"10500","Albany, GA (Metropolitan Statistical Area)",321140,372190,424311,480038,555071,572953,601973,669194,731117,843252,944356,1053652,1201662,1270580,1352233,1508326,1585078,1653303,1710957,1836633,1966471,2094178,2233147,2344768,2455591,2682327,2828467,3009316,3097422,3224077,3315444,3448146,3544067,3695068,3833427,3930646,4064538,4154201,4311977,4490088,4591059,4727287,5075541,5101696,5051615,5168357,5272524,5324540,5446810,5622985,5857583
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)",225174,242957,268934,298356,345781,396139,430189,496928,561977,626200,692242,763418,833933,858057,904395,971595,1012785,1055672,1120327,1247940,1344041,1415677,1493662,1589035,1700272,1799553,1920465,2092053,2163857,2229964,2287091,2375900,2593500,2670594,2730439,2914377,3029078,3282355,3446514,3562032,3565145,3697969,3825868,3964446,4026793,4293341,4610378,4836624,5147507,5522081,5816653
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2965738,3299252,3648157,3926002,4229899,4588365,4962911,5302714,5731221,6268119,6893883,7704596,8548119,9367569,10089285,11168909,11991143,12906310,13699039,14869767,16410897,17345125,17921053,18991395,19596837,20238686,20895200,21549433,22681039,23789001,24961949,26800742,28099704,28358097,29358061,30658678,31685602,33436698,34935187,36892825,37222239,38693831,40118185,41582543,42431719,44093361,46347149,47174310,49830518,51561974,53498359
"10740","Albuquerque, NM (Metropolitan Statistical Area) *",1247215,1414627,1598397,1834590,2045489,2292455,2593217,2935369,3288372,3809512,4332145,4859365,5413999,5724635,6289945,6990630,7673240,8175036,8672045,9220626,9794205,10482512,11204303,12036684,13000443,14131170,15220016,16044180,16881644,17627064,18084146,19627427,20615963,21402296,22402431,23838742,25413256,27523476,28809412,30233555,30098613,30634965,31977757,32424855,31993265,33889057,35265941,36588821,37324817,38856657,40379815
"10780","Alexandria, LA (Metropolitan Statistical Area)",370042,398474,452673,494074,549564,596522,667030,750300,821170,932091,1032092,1177286,1310750,1410470,1522769,1614010,1711522,1775833,1832036,1932716,2080986,2207846,2285734,2374547,2509158,2692139,2790875,2868955,2972718,3146198,3263309,3397455,3702272,3828594,3873958,4148459,4527139,4779408,4976499,5302408,5257482,5361291,5667339,5923309,5938294,6045886,6160540,6245761,6300415,6570992,6757395
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2277980,2470715,2634493,2921986,3293107,3695845,4063395,4421259,4886917,5432118,6060391,6686058,7404955,7937732,8299386,9105802,9740893,10260641,10969909,11895780,12979588,13678791,14337995,15192704,15755236,16334381,17021853,17945703,18899145,19821113,20931761,22569579,24238713,25010205,25910168,27371525,29310311,30805698,33335736,34465111,33256414,34563981,35852420,36480137,36951573,38526707,40378661,41691305,43078169,45112429,46992336
"11020","Altoona, PA (Metropolitan Statistical Area)",431016,470275,499206,535727,589763,647183,713117,795308,877132,965705,1066392,1139914,1230999,1283897,1331897,1414118,1511644,1597220,1658933,1743086,1888384,1999299,2092950,2237068,2350285,2456062,2549386,2689142,2832129,2974443,3086529,3216044,3255632,3347166,3473739,3645718,3780067,3905991,4093100,4240852,4288406,4439095,4684022,4808282,4794185,4998509,5236887,5312333,5459082,5701223,5881562
